stock_date,open_price,close_price,low,high,volume,return
2023-02-13,4096.62,4137.29,4092.67,4138.9,3448620000,1.14
2023-02-14,4126.7,4136.13,4095.01,4159.77,3929200000,-0.03
2023-02-15,4119.5,4147.6,4103.98,4148.11,4075980000,0.28
2023-02-16,4114.75,4090.41,4089.49,4136.54,4143660000,-1.38
2023-02-17,4077.39,4079.09,4047.95,4081.51,4045480000,-0.28
2023-02-21,4052.35,3997.34,3995.19,4052.35,4121590000,-2.00
2023-02-22,4001.83,3991.05,3976.9,4017.37,4079320000,-0.16
2023-02-23,4018.6,4012.32,3969.19,4028.3,3952940000,0.53
2023-02-24,3973.24,3970.04,3943.08,3978.25,3877700000,-1.05
2023-02-27,3992.36,3982.24,3973.55,4018.05,3836950000,0.31
2023-02-28,3977.19,3970.15,3968.98,3997.5,5043400000,-0.30
2023-03-01,3963.34,3951.39,3939.05,3971.73,4249480000,-0.47
2023-03-02,3938.68,3981.35,3928.16,3990.84,4244900000,0.76
2023-03-03,3998.02,4045.64,3995.17,4048.29,4084730000,1.61
2023-03-06,4055.15,4048.42,4044.61,4078.49,4000870000,0.07
2023-03-07,4048.26,3986.37,3980.31,4050,3922500000,-1.53
2023-03-08,3987.55,3992.01,3969.76,4000.41,3535570000,0.14
2023-03-09,3998.66,3918.32,3908.7,4017.81,4445260000,-1.85
2023-03-10,3912.77,3861.59,3846.32,3934.05,5518190000,-1.45
2023-03-13,3835.12,3855.76,3808.86,3905.05,6558020000,-0.15
2023-03-14,3894.01,3919.29,3873.63,3937.29,5665870000,1.65
2023-03-15,3876.74,3891.93,3838.24,3894.26,6594010000,-0.70
2023-03-16,3878.93,3960.28,3864.11,3964.46,5695790000,1.76
2023-03-17,3958.69,3916.64,3901.27,3958.91,9354280000,-1.10
2023-03-20,3917.47,3951.57,3916.89,3956.62,5347140000,0.89
2023-03-21,3975.89,4002.87,3971.19,4009.08,4920240000,1.30
2023-03-22,4002.04,3936.97,3936.17,4039.49,4533010000,-1.65
2023-03-23,3959.21,3948.72,3919.05,4007.66,4991600000,0.30
2023-03-24,3939.21,3970.99,3909.16,3972.74,4583970000,0.56
2023-03-27,3982.93,3977.53,3970.49,4003.83,4233540000,0.16
2023-03-28,3974.13,3971.27,3951.53,3979.2,4014600000,-0.16
2023-03-29,3999.53,4027.81,3999.53,4030.59,4145250000,1.42
2023-03-30,4046.74,4050.83,4032.1,4057.85,3930860000,0.57
2023-03-31,4056.18,4109.31,4056.18,4110.75,4525120000,1.44
2023-04-03,4102.2,4124.51,4098.79,4127.66,4234700000,0.37
2023-04-04,4128.03,4100.6,4086.87,4133.13,4227800000,-0.58
2023-04-05,4094.5,4090.38,4072.56,4099.69,3968020000,-0.25
2023-04-06,4081.15,4105.02,4069.84,4107.32,3486690000,0.36
2023-04-10,4085.2,4109.11,4072.55,4109.5,3423650000,0.10
